0,1,2,3,4,5,6,7,8,9
1079.47607645,2362.02190979,43.5,832.31899186,889.03759299,997.57023813,456.74215177,1078.3869800999998,427.92695504,1443.55286363
1095.35649094,2391.48580056,44.34,832.76623474,896.13367412,997.57023813,484.84203389,1078.3869800999998,436.03635797,1452.16252285
1117.51064943,2308.00477672,44.22,872.12360781,892.07877062,994.59685441,533.42149112,1075.28816694,432.60545673,1455.03240926
1122.01990293,2283.45153441,44.74,856.91735003,901.2023035,991.62347069,530.03325748,1075.28816694,448.82426261,1460.77218208
1135.54766342,2263.80894057,45.2,847.97249252,912.35328813,982.70331953,524.78540345,1075.28816694,472.5286712,1457.90229567
1148.09515141,2249.07699518,47.85,845.73627814,913.36701401,981.21662767,562.47453697,1078.3869800999998,461.61216724,1457.90229567
1116.53037693,2278.54088595,49.26,846.63076389,931.61407977,994.59685441,557.22668294,1078.3869800999998,474.71197199,1463.64206849
1096.14070894,2278.54088595,49.95,859.15356441,933.64153152,1002.03031371,515.7209283,1078.3869800999998,465.04306848,1455.03240926
1145.35038842,2312.91542518,49.98,857.81183578,949.86114553,997.57023813,525.73955873,1084.58460642,469.72157018,1463.64206849
1159.85842141,2268.71958903,48.9,885.54089408,935.66898327,984.19001139,495.68366744,1072.18935378,485.00467572,1446.42275004
1125.74493843,2298.18347979,48.8,887.32986559,974.19056655,991.62347069,496.16074508,1075.28816694,504.03058261,1469.38184131
1125.74493843,2303.09412826,48.93,898.06369461,1008.65724632,997.57023813,486.14211465,1106.27629855,494.36167911,1503.82047821
1117.90275843,2288.36218287,48.0,900.74715186,977.23174417,984.19001139,474.6922513,1090.78223274,497.48068024,1483.73127335
1116.13826793,2303.09412826,47.9,865.86220755,981.28664768,988.65008697,469.92147491,1093.8810459000001,508.08528408,1483.73127335
1130.84235542,2303.09412826,48.02,862.28426454,975.20429242,978.24324395,446.54467057,1081.48579326,532.10159278,1492.34093258
1106.13948844,2337.46866748,48.08,843.50006376,977.23174417,981.21662767,469.92147491,1081.48579326,531.78969267,1489.47104617
1085.55376595,2327.64737056,48.11,856.91735003,954.92977491,976.75655209,487.09626993,1072.18935378,520.24938848,1469.38184131
1156.32944041,2352.20061287,48.23,872.57085069,980.2729218000001,979.72993581,485.66503701,1078.3869800999998,521.18508882,1483.73127335
1166.12104027,2401.30709748,48.25,877.9377652000001,979.25919593,975.26986023,458.47161156,1078.3869800999998,523.0564895,1483.73127335
1156.71051405,2381.66450363,50.28,867.65117905,979.25919593,973.78316837,498.54613328,1078.3869800999998,513.387586,1489.47104617
1191.01972421,2416.03904286,50.15,885.54089408,985.34155118,975.26986023,527.17079165,1081.48579326,523.36838961,1503.82047821
1164.16051397,2450.41358209,49.6,847.07800677,968.10821129,978.24324395,501.88567675,1069.09054061,506.52578351,1489.47104617
1185.13814533,2465.14552747,49.22,848.86697827,980.2729218000001,979.72993581,492.8212016,1072.18935378,513.07568589,1492.34093258
1209.25261876,2406.21774594,49.0,830.08277748,968.10821129,982.70331953,471.35270783,1075.28816694,504.96628295,1483.73127335
1243.16972366,2406.21774594,49.05,860.04805016,969.12193717,988.65008697,484.23380409,1072.18935378,508.39718419,1483.73127335
1215.5263029,2425.86033978,48.26,854.23389278,964.05330779,993.11016255,499.50028856,1065.99172745,525.23979029,1480.86138694
1205.33156617,2371.84320671,48.2,835.89693487,953.91604903,985.67670325,449.40713641,1062.89291429,516.50658713,1460.77218208
1211.01709242,2376.75385517,47.9,843.50006376,949.86114553,900.93526722,422.6907886,1059.79410113,536.15629425,1472.25172771
